model,mean_cv_accuracy,std_cv_accuracy,min_cv_accuracy,max_cv_accuracy
K-Nearest Neighbors,0.9583333333333334,0.026352313834736508,0.9166666666666666,1.0
Decision Tree,0.95,0.016666666666666698,0.9166666666666666,0.9583333333333334
Random Forest,0.95,0.0311804782231162,0.9166666666666666,1.0
